route_key,mode,o_zone_id,d_zone_id,o_x_coord,o_y_coord,d_x_coord,d_y_coord,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,volume,WKT_geometry
1_20_sov,sov,1,20,-96.7704,43.6128,-96.7112,43.5153,22,35.398,7.3602,11.8426,2.98905,22,39.3959,300,"LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744,-96.711185 43.515333)"
1_21_sov,sov,1,21,-96.7704,43.6128,-96.731,43.5105,18,28.962,7.34183,11.813,2.4517,18,39.8181,100,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.730979 43.510485)"
1_22_sov,sov,1,22,-96.7704,43.6128,-96.7312,43.5149,20,32.18,7.0476,11.3396,2.83785,20,44.17,400,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.730979 43.510485,-96.731241 43.514858)"
1_23_sov,sov,1,23,-96.7704,43.6128,-96.7509,43.5149,17,27.353,6.83928,11.0044,2.48564,17,32.066,300,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.750904 43.514858)"
1_24_sov,sov,1,24,-96.7704,43.6128,-96.7492,43.5032,15,24.135,7.65124,12.3108,1.96047,15,28.4037,100,"LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164)"
2_1_sov,sov,2,1,-96.7113,43.6058,-96.7704,43.6128,6,9.654,2.99955,4.82627,2.0003,6,6.00091,100,"LINESTRING(-96.711251 43.605813,-96.770420 43.612828)"
2_3_sov,sov,2,3,-96.7113,43.6058,-96.7743,43.573,10,16.09,3.88704,6.25425,2.57265,10,10.0099,100,"LINESTRING(-96.711251 43.605813,-96.770420 43.612828,-96.774303 43.572962)"
2_4_sov,sov,2,4,-96.7113,43.6058,-96.7472,43.5637,11,17.699,3.42299,5.50759,3.21357,11,18.5461,200,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.731569 43.564034,-96.747168 43.563654)"
2_5_sov,sov,2,5,-96.7113,43.6058,-96.7316,43.564,9,14.481,3.06059,4.92449,2.94061,9,16.1986,100,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.731569 43.564034)"
2_6_sov,sov,2,6,-96.7113,43.6058,-96.7116,43.5876,5,8.045,1.25956,2.02664,3.96963,5,6.56475,400,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586)"
2_7_sov,sov,2,7,-96.7113,43.6058,-96.6934,43.5638,10,16.09,3.034,4.88171,3.29598,10,27.0601,200,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
2_8_sov,sov,2,8,-96.7113,43.6058,-96.7114,43.5623,7,11.263,3.00485,4.83481,2.32956,7,21.4078,400,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324)"
2_9_sov,sov,2,9,-96.7113,43.6058,-96.7312,43.5486,14,22.526,4.078,6.56151,3.43305,14,26.0059,200,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.731569 43.564034,-96.731241 43.548596)"
2_10_sov,sov,2,10,-96.7113,43.6058,-96.7314,43.5453,16,25.744,4.30342,6.92421,3.71797,16,52.3468,600,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.731438 43.545271)"
2_11_sov,sov,2,11,-96.7113,43.6058,-96.7468,43.5441,17,27.353,4.61925,7.43237,3.68025,17,26.0729,200,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.731569 43.564034,-96.747168 43.563654,-96.746841 43.544131)"
2_12_sov,sov,2,12,-96.7113,43.6058,-96.7801,43.5439,14,22.526,5.49236,8.8372,2.549,14,14.0344,100,"LINESTRING(-96.711251 43.605813,-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941)"
2_13_sov,sov,2,13,-96.7113,43.6058,-96.7934,43.4907,17,27.353,8.95362,14.4064,1.89867,17,17.0621,300,"LINESTRING(-96.711251 43.605813,-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707)"
2_14_sov,sov,2,14,-96.7113,43.6058,-96.751,43.5293,21,33.789,5.64895,9.08917,3.7175,21,40.619,100,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.731569 43.564034,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306)"
2_15_sov,sov,2,15,-96.7113,43.6058,-96.7315,43.5294,19,30.571,5.37608,8.65012,3.53417,19,52.864,100,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280,-96.711316 43.529591,-96.731504 43.529401)"
2_16_sov,sov,2,16,-96.7113,43.6058,-96.7114,43.5467,12,19.308,4.08135,6.56689,2.9402,12,31.9513,400,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744)"
2_17_sov,sov,2,17,-96.7113,43.6058,-96.7114,43.5413,14,22.526,4.45885,7.17428,3.13983,14,41.1553,200,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280)"
2_19_sov,sov,2,19,-96.7113,43.6058,-96.7113,43.5296,16,25.744,5.26647,8.47375,3.03809,16,48.5489,100,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280,-96.711316 43.529591)"
2_20_sov,sov,2,20,-96.7113,43.6058,-96.7112,43.5153,16,25.744,6.2516,10.0588,2.55935,16,33.395,100,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744,-96.711185 43.515333)"
2_22_sov,sov,2,22,-96.7113,43.6058,-96.7312,43.5149,21,33.789,6.36365,10.2391,3.29999,21,41.3214,100,"LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744,-96.711185 43.515333,-96.731241 43.514858)"
3_1_sov,sov,3,1,-96.7743,43.573,-96.7704,43.6128,4,6.436,2.76137,4.44305,1.44855,4,4.00871,100,"LINESTRING(-96.774303 43.572962,-96.770420 43.612828)"
3_2_sov,sov,3,2,-96.7743,43.573,-96.7113,43.6058,10,16.09,3.88704,6.25425,2.57265,10,10.0096,100,"LINESTRING(-96.774303 43.572962,-96.770420 43.612828,-96.711251 43.605813)"
3_4_sov,sov,3,4,-96.7743,43.573,-96.7472,43.5637,4,6.436,1.50299,2.41831,2.66137,4,4.30358,200,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654)"
3_5_sov,sov,3,5,-96.7743,43.573,-96.7316,43.564,6,9.654,2.22653,3.58249,2.69477,6,6.64516,100,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034)"
3_6_sov,sov,3,6,-96.7743,43.573,-96.7116,43.5876,10,16.09,3.29501,5.30167,3.03489,10,16.6443,300,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586)"
3_7_sov,sov,3,7,-96.7743,43.573,-96.6934,43.5638,15,24.135,4.09778,6.59334,3.66051,15,37.1396,100,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
3_8_sov,sov,3,8,-96.7743,43.573,-96.7114,43.5623,12,19.308,3.23466,5.20456,3.70982,12,31.4873,200,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324)"
3_9_sov,sov,3,9,-96.7743,43.573,-96.7312,43.5486,11,17.699,2.73546,4.40135,4.02126,11,16.4524,100,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596)"
3_10_sov,sov,3,10,-96.7743,43.573,-96.7314,43.5453,14,22.526,2.87525,4.62628,4.86914,14,22.1483,300,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271)"
3_11_sov,sov,3,11,-96.7743,43.573,-96.7468,43.5441,10,16.09,2.42055,3.89467,4.13129,10,11.8303,300,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131)"
3_12_sov,sov,3,12,-96.7743,43.573,-96.7801,43.5439,4,6.436,2.02634,3.26038,1.97401,4,4.02451,200,"LINESTRING(-96.774303 43.572962,-96.780137 43.543941)"
3_13_sov,sov,3,13,-96.7743,43.573,-96.7934,43.4907,7,11.263,5.76304,9.27274,1.21464,7,7.05222,100,"LINESTRING(-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707)"
3_14_sov,sov,3,14,-96.7743,43.573,-96.751,43.5293,14,22.526,3.23356,5.2028,4.32959,14,26.3765,100,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306)"
3_15_sov,sov,3,15,-96.7743,43.573,-96.7315,43.5294,19,30.571,3.6949,5.9451,5.14222,19,39.1102,100,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.731504 43.529401)"
3_16_sov,sov,3,16,-96.7743,43.573,-96.7114,43.5467,17,27.353,3.63413,5.84731,4.67787,17,42.0309,200,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744)"
3_17_sov,sov,3,17,-96.7743,43.573,-96.7114,43.5413,19,30.571,3.8364,6.17277,4.95256,19,51.2348,100,"LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280)"
3_22_sov,sov,3,22,-96.7743,43.573,-96.7312,43.5149,16,25.744,4.55722,7.33256,3.51092,16,40.161,100,"LINESTRING(-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.730979 43.510485,-96.731241 43.514858)"
3_23_sov,sov,3,23,-96.7743,43.573,-96.7509,43.5149,13,20.917,4.18215,6.72907,3.10845,13,28.0571,100,"LINESTRING(-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.750904 43.514858)"
4_1_sov,sov,4,1,-96.7472,43.5637,-96.7704,43.6128,8,12.872,3.59139,5.77855,2.22755,8,8.31192,500,"LINESTRING(-96.747168 43.563654,-96.774303 43.572962,-96.770420 43.612828)"
4_2_sov,sov,4,2,-96.7472,43.5637,-96.7113,43.6058,11,17.699,3.42299,5.50759,3.21357,11,18.9744,200,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711251 43.605813)"
4_3_sov,sov,4,3,-96.7472,43.5637,-96.7743,43.573,4,6.436,1.50299,2.41831,2.66137,4,4.30321,200,"LINESTRING(-96.747168 43.563654,-96.774303 43.572962)"
4_5_sov,sov,4,5,-96.7472,43.5637,-96.7316,43.564,2,3.218,0.781439,1.25733,2.55938,2,2.34159,500,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034)"
4_6_sov,sov,4,6,-96.7472,43.5637,-96.7116,43.5876,6,9.654,2.42824,3.90703,2.47093,6,12.3407,400,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586)"
4_7_sov,sov,4,7,-96.7472,43.5637,-96.6934,43.5638,11,17.699,2.69087,4.32961,4.0879,11,32.836,400,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
4_8_sov,sov,4,8,-96.7472,43.5637,-96.7114,43.5623,8,12.872,1.79408,2.88667,4.45911,8,27.1838,700,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324)"
4_9_sov,sov,4,9,-96.7472,43.5637,-96.7312,43.5486,7,11.263,1.31087,2.10919,5.33996,7,12.1488,700,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596)"
4_10_sov,sov,4,10,-96.7472,43.5637,-96.7314,43.5453,10,16.09,1.49456,2.40474,6.69095,10,17.8447,1200,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271)"
4_11_sov,sov,4,11,-96.7472,43.5637,-96.7468,43.5441,6,9.654,1.34902,2.17057,4.44767,6,7.52675,1400,"LINESTRING(-96.747168 43.563654,-96.746841 43.544131)"
4_12_sov,sov,4,12,-96.7472,43.5637,-96.7801,43.5439,8,12.872,2.14022,3.44362,3.73793,8,8.32772,600,"LINESTRING(-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941)"
4_13_sov,sov,4,13,-96.7472,43.5637,-96.7934,43.4907,11,17.699,5.54634,8.92406,1.98329,11,11.3554,600,"LINESTRING(-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707)"
4_14_sov,sov,4,14,-96.7472,43.5637,-96.751,43.5293,10,16.09,2.3811,3.83119,4.19974,10,22.0729,500,"LINESTRING(-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306)"
4_15_sov,sov,4,15,-96.7472,43.5637,-96.7315,43.5294,15,24.135,2.49328,4.01169,6.01617,15,34.8066,500,"LINESTRING(-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.731504 43.529401)"
4_16_sov,sov,4,16,-96.7472,43.5637,-96.7114,43.5467,13,20.917,2.13921,3.44199,6.07701,13,37.7273,800,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744)"
4_17_sov,sov,4,17,-96.7472,43.5637,-96.7114,43.5413,15,24.135,2.36667,3.80798,6.33801,15,46.9312,500,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280)"
4_18_sov,sov,4,18,-96.7472,43.5637,-96.6941,43.5467,13,20.917,2.90382,4.67225,4.47686,13,34.8973,100,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744)"
4_19_sov,sov,4,19,-96.7472,43.5637,-96.7113,43.5296,17,27.353,2.9602,4.76297,5.74285,17,54.3249,200,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280,-96.711316 43.529591)"
4_20_sov,sov,4,20,-96.7472,43.5637,-96.7112,43.5153,17,27.353,3.79403,6.1046,4.48072,17,39.171,300,"LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744,-96.711185 43.515333)"
4_21_sov,sov,4,21,-96.7472,43.5637,-96.731,43.5105,18,28.962,3.76206,6.05316,4.78461,18,40.1123,200,"LINESTRING(-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.730979 43.510485)"
4_22_sov,sov,4,22,-96.7472,43.5637,-96.7312,43.5149,18,28.962,3.46457,5.57449,5.19545,18,43.6782,400,"LINESTRING(-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.731504 43.529401,-96.731241 43.514858)"
4_23_sov,sov,4,23,-96.7472,43.5637,-96.7509,43.5149,14,22.526,3.37667,5.43305,4.1461,14,31.0732,500,"LINESTRING(-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.750904 43.514858)"
4_24_sov,sov,4,24,-96.7472,43.5637,-96.7492,43.5032,15,24.135,4.1807,6.72675,3.58792,15,28.6979,200,"LINESTRING(-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164)"
5_1_sov,sov,5,1,-96.7316,43.564,-96.7704,43.6128,10,16.09,3.89187,6.26202,2.56946,10,10.6594,200,"LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.774303 43.572962,-96.770420 43.612828)"
5_2_sov,sov,5,2,-96.7316,43.564,-96.7113,43.6058,9,14.481,3.06059,4.92449,2.94061,9,16.6328,100,"LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711251 43.605813)"
5_3_sov,sov,5,3,-96.7316,43.564,-96.7743,43.573,6,9.654,2.22653,3.58249,2.69477,6,6.65069,100,"LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.774303 43.572962)"
5_4_sov,sov,5,4,-96.7316,43.564,-96.7472,43.5637,2,3.218,0.781439,1.25733,2.55938,2,2.34748,500,"LINESTRING(-96.731569 43.564034,-96.747168 43.563654)"
5_6_sov,sov,5,6,-96.7316,43.564,-96.7116,43.5876,4,6.436,1.90863,3.07099,2.09574,4,9.99912,200,"LINESTRING(-96.731569 43.564034,-96.711644 43.587586)"
5_7_sov,sov,5,7,-96.7316,43.564,-96.6934,43.5638,9,14.481,1.90988,3.07299,4.71235,9,30.4945,200,"LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
5_8_sov,sov,5,8,-96.7316,43.564,-96.7114,43.5623,6,9.654,1.01759,1.63731,5.89626,6,24.8422,500,"LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324)"
5_9_sov,sov,5,9,-96.7316,43.564,-96.7312,43.5486,5,8.045,1.06675,1.7164,4.68714,5,9.80721,800,"LINESTRING(-96.731569 43.564034,-96.731241 43.548596)"
5_10_sov,sov,5,10,-96.7316,43.564,-96.7314,43.5453,8,12.872,1.29641,2.08592,6.1709,8,15.5032,1000,"LINESTRING(-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271)"
5_11_sov,sov,5,11,-96.7316,43.564,-96.7468,43.5441,8,12.872,1.57349,2.53175,5.08422,8,9.87423,500,"LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.746841 43.544131)"
5_12_sov,sov,5,12,-96.7316,43.564,-96.7801,43.5439,10,16.09,2.80035,4.50576,3.57098,10,10.6752,200,"LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941)"
5_13_sov,sov,5,13,-96.7316,43.564,-96.7934,43.4907,13,20.917,5.93766,9.5537,2.18941,13,13.7029,200,"LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707)"
5_14_sov,sov,5,14,-96.7316,43.564,-96.751,43.5293,12,19.308,2.58994,4.16722,4.6333,12,24.4204,100,"LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306)"
5_15_sov,sov,5,15,-96.7316,43.564,-96.7315,43.5294,14,22.526,2.3929,3.85017,5.85065,14,29.0155,200,"LINESTRING(-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271,-96.731504 43.529401)"
5_16_sov,sov,5,16,-96.7316,43.564,-96.7114,43.5467,11,17.699,1.56491,2.51795,7.02914,11,35.3857,500,"LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744)"
5_17_sov,sov,5,17,-96.7316,43.564,-96.7114,43.5413,13,20.917,1.86909,3.00736,6.95526,13,44.5897,200,"LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280)"
5_19_sov,sov,5,19,-96.7316,43.564,-96.7113,43.5296,15,24.135,2.58689,4.16231,5.79847,15,51.9833,100,"LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280,-96.711316 43.529591)"
5_20_sov,sov,5,20,-96.7316,43.564,-96.7112,43.5153,15,24.135,3.51636,5.65783,4.26577,15,36.8294,100,"LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744,-96.711185 43.515333)"
5_21_sov,sov,5,21,-96.7316,43.564,-96.731,43.5105,19,30.571,3.7,5.9533,5.13513,19,42.1714,100,"LINESTRING(-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271,-96.731504 43.529401,-96.731241 43.514858,-96.730979 43.510485)"
5_22_sov,sov,5,22,-96.7316,43.564,-96.7312,43.5149,17,27.353,3.39777,5.46701,5.00328,17,37.8871,200,"LINESTRING(-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271,-96.731504 43.529401,-96.731241 43.514858)"
5_23_sov,sov,5,23,-96.7316,43.564,-96.7509,43.5149,16,25.744,3.53305,5.68467,4.52867,16,33.4207,100,"LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.750904 43.514858)"
6_1_sov,sov,6,1,-96.7116,43.5876,-96.7704,43.6128,11,17.699,3.41918,5.50145,3.21715,11,12.6346,300,"LINESTRING(-96.711644 43.587586,-96.711251 43.605813,-96.770420 43.612828)"
6_2_sov,sov,6,2,-96.7116,43.5876,-96.7113,43.6058,5,8.045,1.25956,2.02664,3.96963,5,6.63372,400,"LINESTRING(-96.711644 43.587586,-96.711251 43.605813)"
6_3_sov,sov,6,3,-96.7116,43.5876,-96.7743,43.573,10,16.09,3.29501,5.30167,3.03489,10,16.2846,300,"LINESTRING(-96.711644 43.587586,-96.731569 43.564034,-96.747168 43.563654,-96.774303 43.572962)"
6_4_sov,sov,6,4,-96.7116,43.5876,-96.7472,43.5637,6,9.654,2.42824,3.90703,2.47093,6,11.9814,400,"LINESTRING(-96.711644 43.587586,-96.731569 43.564034,-96.747168 43.563654)"
6_5_sov,sov,6,5,-96.7116,43.5876,-96.7316,43.564,4,6.436,1.90863,3.07099,2.09574,4,9.6339,200,"LINESTRING(-96.711644 43.587586,-96.731569 43.564034)"
6_7_sov,sov,6,7,-96.7116,43.5876,-96.6934,43.5638,5,8.045,1.87694,3.01999,2.66392,5,20.4953,400,"LINESTRING(-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
6_8_sov,sov,6,8,-96.7116,43.5876,-96.7114,43.5623,2,3.218,1.74549,2.80849,1.14581,2,14.8431,800,"LINESTRING(-96.711644 43.587586,-96.711382 43.562324)"
6_9_sov,sov,6,9,-96.7116,43.5876,-96.7312,43.5486,9,14.481,2.86702,4.61303,3.13915,9,19.4411,400,"LINESTRING(-96.711644 43.587586,-96.731569 43.564034,-96.731241 43.548596)"
